ts_start,ts_end,price
2026-01-10 09:00:00,2026-01-10 09:15:00,0.079960
2026-01-10 08:45:00,2026-01-10 09:00:00,0.081820
2026-01-10 08:30:00,2026-01-10 08:45:00,0.079040
2026-01-10 08:15:00,2026-01-10 08:30:00,0.075430
2026-01-10 08:00:00,2026-01-10 08:15:00,0.069600
2026-01-10 07:45:00,2026-01-10 08:00:00,0.073220
2026-01-10 07:30:00,2026-01-10 07:45:00,0.071080
2026-01-10 07:15:00,2026-01-10 07:30:00,0.068130
2026-01-10 07:00:00,2026-01-10 07:15:00,0.064710
2026-01-10 06:45:00,2026-01-10 07:00:00,0.068800
2026-01-10 06:30:00,2026-01-10 06:45:00,0.066750
2026-01-10 06:15:00,2026-01-10 06:30:00,0.064410
2026-01-10 06:00:00,2026-01-10 06:15:00,0.063100
2026-01-10 05:45:00,2026-01-10 06:00:00,0.064070
2026-01-10 05:30:00,2026-01-10 05:45:00,0.063100
2026-01-10 05:15:00,2026-01-10 05:30:00,0.064420
2026-01-10 05:00:00,2026-01-10 05:15:00,0.063880
2026-01-10 04:45:00,2026-01-10 05:00:00,0.062860
2026-01-10 04:30:00,2026-01-10 04:45:00,0.064190
2026-01-10 04:15:00,2026-01-10 04:30:00,0.063600
2026-01-10 04:00:00,2026-01-10 04:15:00,0.065160
2026-01-10 03:45:00,2026-01-10 04:00:00,0.061790
2026-01-10 03:30:00,2026-01-10 03:45:00,0.062690
2026-01-10 03:15:00,2026-01-10 03:30:00,0.063190
2026-01-10 03:00:00,2026-01-10 03:15:00,0.064860
2026-01-10 02:45:00,2026-01-10 03:00:00,0.059270
2026-01-10 02:30:00,2026-01-10 02:45:00,0.063250
2026-01-10 02:15:00,2026-01-10 02:30:00,0.066640
2026-01-10 02:00:00,2026-01-10 02:15:00,0.068680
2026-01-10 01:45:00,2026-01-10 02:00:00,0.060410
2026-01-10 01:30:00,2026-01-10 01:45:00,0.069940
2026-01-10 01:15:00,2026-01-10 01:30:00,0.057440
2026-01-10 01:00:00,2026-01-10 01:15:00,0.061930
2026-01-10 00:45:00,2026-01-10 01:00:00,0.069960
2026-01-10 00:30:00,2026-01-10 00:45:00,0.071980
2026-01-10 00:15:00,2026-01-10 00:30:00,0.073000
2026-01-10 00:00:00,2026-01-10 00:15:00,0.077590
2026-01-09 23:45:00,2026-01-10 00:00:00,0.075710
2026-01-09 23:30:00,2026-01-09 23:45:00,0.079980
2026-01-09 23:15:00,2026-01-09 23:30:00,0.096640
2026-01-09 23:00:00,2026-01-09 23:15:00,0.104510
2026-01-09 22:45:00,2026-01-09 23:00:00,0.088130
2026-01-09 22:30:00,2026-01-09 22:45:00,0.104580
2026-01-09 22:15:00,2026-01-09 22:30:00,0.106860
2026-01-09 22:00:00,2026-01-09 22:15:00,0.109160
2026-01-09 21:45:00,2026-01-09 22:00:00,0.090630
2026-01-09 21:30:00,2026-01-09 21:45:00,0.105000
2026-01-09 21:15:00,2026-01-09 21:30:00,0.110100
2026-01-09 21:00:00,2026-01-09 21:15:00,0.113420
2026-01-09 20:45:00,2026-01-09 21:00:00,0.109160
2026-01-09 20:30:00,2026-01-09 20:45:00,0.112480
2026-01-09 20:15:00,2026-01-09 20:30:00,0.112490
2026-01-09 20:00:00,2026-01-09 20:15:00,0.121400
2026-01-09 19:45:00,2026-01-09 20:00:00,0.115400
2026-01-09 19:30:00,2026-01-09 19:45:00,0.125980
2026-01-09 19:15:00,2026-01-09 19:30:00,0.128160
2026-01-09 19:00:00,2026-01-09 19:15:00,0.116300
2026-01-09 18:45:00,2026-01-09 19:00:00,0.122910
2026-01-09 18:30:00,2026-01-09 18:45:00,0.123390
2026-01-09 18:15:00,2026-01-09 18:30:00,0.146470
2026-01-09 18:00:00,2026-01-09 18:15:00,0.140120
2026-01-09 17:45:00,2026-01-09 18:00:00,0.150150
2026-01-09 17:30:00,2026-01-09 17:45:00,0.159440
2026-01-09 17:15:00,2026-01-09 17:30:00,0.156060
2026-01-09 17:00:00,2026-01-09 17:15:00,0.151970
2026-01-09 16:45:00,2026-01-09 17:00:00,0.139200
2026-01-09 16:30:00,2026-01-09 16:45:00,0.151210
2026-01-09 16:15:00,2026-01-09 16:30:00,0.150150
2026-01-09 16:00:00,2026-01-09 16:15:00,0.150150
2026-01-09 15:45:00,2026-01-09 16:00:00,0.150150
2026-01-09 15:30:00,2026-01-09 15:45:00,0.123390
2026-01-09 15:15:00,2026-01-09 15:30:00,0.143280
2026-01-09 15:00:00,2026-01-09 15:15:00,0.150150
2026-01-09 14:45:00,2026-01-09 15:00:00,0.150150
2026-01-09 14:30:00,2026-01-09 14:45:00,0.150150
2026-01-09 14:15:00,2026-01-09 14:30:00,0.162560
2026-01-09 14:00:00,2026-01-09 14:15:00,0.166090
2026-01-09 13:45:00,2026-01-09 14:00:00,0.166080
2026-01-09 13:30:00,2026-01-09 13:45:00,0.162550
2026-01-09 13:15:00,2026-01-09 13:30:00,0.162520
2026-01-09 13:00:00,2026-01-09 13:15:00,0.155450
2026-01-09 12:45:00,2026-01-09 13:00:00,0.188060
2026-01-09 12:30:00,2026-01-09 12:45:00,0.178940
2026-01-09 12:15:00,2026-01-09 12:30:00,0.164430
2026-01-09 12:00:00,2026-01-09 12:15:00,0.160980
2026-01-09 11:45:00,2026-01-09 12:00:00,0.142620
2026-01-09 11:30:00,2026-01-09 11:45:00,0.140270
2026-01-09 11:15:00,2026-01-09 11:30:00,0.135910
2026-01-09 11:00:00,2026-01-09 11:15:00,0.127860
2026-01-09 10:45:00,2026-01-09 11:00:00,0.190000
2026-01-09 10:30:00,2026-01-09 10:45:00,0.200210
2026-01-09 10:15:00,2026-01-09 10:30:00,0.185010
2026-01-09 10:00:00,2026-01-09 10:15:00,0.150160
2026-01-09 09:45:00,2026-01-09 10:00:00,0.175770
2026-01-09 09:30:00,2026-01-09 09:45:00,0.157880
2026-01-09 09:15:00,2026-01-09 09:30:00,0.158270
2026-01-09 09:00:00,2026-01-09 09:15:00,0.150120
2026-01-09 08:45:00,2026-01-09 09:00:00,0.200170
2026-01-09 08:30:00,2026-01-09 08:45:00,0.184650
2026-01-09 08:15:00,2026-01-09 08:30:00,0.190000
2026-01-09 08:00:00,2026-01-09 08:15:00,0.150120
2026-01-09 07:45:00,2026-01-09 08:00:00,0.156100
2026-01-09 07:30:00,2026-01-09 07:45:00,0.144950
2026-01-09 07:15:00,2026-01-09 07:30:00,0.134750
2026-01-09 07:00:00,2026-01-09 07:15:00,0.118660
2026-01-09 06:45:00,2026-01-09 07:00:00,0.150110
2026-01-09 06:30:00,2026-01-09 06:45:00,0.114840
2026-01-09 06:15:00,2026-01-09 06:30:00,0.110090
2026-01-09 06:00:00,2026-01-09 06:15:00,0.100860
2026-01-09 05:45:00,2026-01-09 06:00:00,0.111850
2026-01-09 05:30:00,2026-01-09 05:45:00,0.104350
2026-01-09 05:15:00,2026-01-09 05:30:00,0.074230
2026-01-09 05:00:00,2026-01-09 05:15:00,0.057430
2026-01-09 04:45:00,2026-01-09 05:00:00,0.065280
2026-01-09 04:30:00,2026-01-09 04:45:00,0.067910
2026-01-09 04:15:00,2026-01-09 04:30:00,0.068610
2026-01-09 04:00:00,2026-01-09 04:15:00,0.071240
2026-01-09 03:45:00,2026-01-09 04:00:00,0.073340
2026-01-09 03:30:00,2026-01-09 03:45:00,0.078410
2026-01-09 03:15:00,2026-01-09 03:30:00,0.076980
2026-01-09 03:00:00,2026-01-09 03:15:00,0.080880
2026-01-09 02:45:00,2026-01-09 03:00:00,0.080130
2026-01-09 02:30:00,2026-01-09 02:45:00,0.080010
2026-01-09 02:15:00,2026-01-09 02:30:00,0.078270
2026-01-09 02:00:00,2026-01-09 02:15:00,0.079980
2026-01-09 01:45:00,2026-01-09 02:00:00,0.085340
2026-01-09 01:30:00,2026-01-09 01:45:00,0.084760
2026-01-09 01:15:00,2026-01-09 01:30:00,0.112360
2026-01-09 01:00:00,2026-01-09 01:15:00,0.113420
2026-01-09 00:45:00,2026-01-09 01:00:00,0.079490
2026-01-09 00:30:00,2026-01-09 00:45:00,0.090220
2026-01-09 00:15:00,2026-01-09 00:30:00,0.098780
2026-01-09 00:00:00,2026-01-09 00:15:00,0.114900
2026-01-08 23:45:00,2026-01-09 00:00:00,0.064370
2026-01-08 23:30:00,2026-01-08 23:45:00,0.074590
2026-01-08 23:15:00,2026-01-08 23:30:00,0.079640
2026-01-08 23:00:00,2026-01-08 23:15:00,0.106080
2026-01-08 22:45:00,2026-01-08 23:00:00,0.081090
2026-01-08 22:30:00,2026-01-08 22:45:00,0.087020
2026-01-08 22:15:00,2026-01-08 22:30:00,0.093480
2026-01-08 22:00:00,2026-01-08 22:15:00,0.099780
2026-01-08 21:45:00,2026-01-08 22:00:00,0.073090
2026-01-08 21:30:00,2026-01-08 21:45:00,0.077720
2026-01-08 21:15:00,2026-01-08 21:30:00,0.096590
2026-01-08 21:00:00,2026-01-08 21:15:00,0.119160
2026-01-08 20:45:00,2026-01-08 21:00:00,0.090410
2026-01-08 20:30:00,2026-01-08 20:45:00,0.110500
2026-01-08 20:15:00,2026-01-08 20:30:00,0.143920
2026-01-08 20:00:00,2026-01-08 20:15:00,0.157440
2026-01-08 19:45:00,2026-01-08 20:00:00,0.132170
2026-01-08 19:30:00,2026-01-08 19:45:00,0.166490
2026-01-08 19:15:00,2026-01-08 19:30:00,0.190000
2026-01-08 19:00:00,2026-01-08 19:15:00,0.225200
2026-01-08 18:45:00,2026-01-08 19:00:00,0.191860
2026-01-08 18:30:00,2026-01-08 18:45:00,0.296160
2026-01-08 18:15:00,2026-01-08 18:30:00,0.294700
2026-01-08 18:00:00,2026-01-08 18:15:00,0.300010
2026-01-08 17:45:00,2026-01-08 18:00:00,0.289990
2026-01-08 17:30:00,2026-01-08 17:45:00,0.285990
2026-01-08 17:15:00,2026-01-08 17:30:00,0.236290
2026-01-08 17:00:00,2026-01-08 17:15:00,0.220360
2026-01-08 16:45:00,2026-01-08 17:00:00,0.265240
2026-01-08 16:30:00,2026-01-08 16:45:00,0.259410
2026-01-08 16:15:00,2026-01-08 16:30:00,0.264610
2026-01-08 16:00:00,2026-01-08 16:15:00,0.246660
2026-01-08 15:45:00,2026-01-08 16:00:00,0.269360
2026-01-08 15:30:00,2026-01-08 15:45:00,0.285380
2026-01-08 15:15:00,2026-01-08 15:30:00,0.258310
2026-01-08 15:00:00,2026-01-08 15:15:00,0.225190
2026-01-08 14:45:00,2026-01-08 15:00:00,0.250000
2026-01-08 14:30:00,2026-01-08 14:45:00,0.242100
2026-01-08 14:15:00,2026-01-08 14:30:00,0.250050
2026-01-08 14:00:00,2026-01-08 14:15:00,0.242110
2026-01-08 13:45:00,2026-01-08 14:00:00,0.242110
2026-01-08 13:30:00,2026-01-08 13:45:00,0.242100
2026-01-08 13:15:00,2026-01-08 13:30:00,0.242100
2026-01-08 13:00:00,2026-01-08 13:15:00,0.225200
2026-01-08 12:45:00,2026-01-08 13:00:00,0.243320
2026-01-08 12:30:00,2026-01-08 12:45:00,0.272240
2026-01-08 12:15:00,2026-01-08 12:30:00,0.253160
2026-01-08 12:00:00,2026-01-08 12:15:00,0.242100
2026-01-08 11:45:00,2026-01-08 12:00:00,0.250020
2026-01-08 11:30:00,2026-01-08 11:45:00,0.272920
2026-01-08 11:15:00,2026-01-08 11:30:00,0.276350
2026-01-08 11:00:00,2026-01-08 11:15:00,0.250000
2026-01-08 10:45:00,2026-01-08 11:00:00,0.242100
2026-01-08 10:30:00,2026-01-08 10:45:00,0.242110
2026-01-08 10:15:00,2026-01-08 10:30:00,0.282510
2026-01-08 10:00:00,2026-01-08 10:15:00,0.282510
2026-01-08 09:45:00,2026-01-08 10:00:00,0.307600
2026-01-08 09:30:00,2026-01-08 09:45:00,0.308630
2026-01-08 09:15:00,2026-01-08 09:30:00,0.300000
2026-01-08 09:00:00,2026-01-08 09:15:00,0.276500
2026-01-08 08:45:00,2026-01-08 09:00:00,0.307130
2026-01-08 08:30:00,2026-01-08 08:45:00,0.312750
2026-01-08 08:15:00,2026-01-08 08:30:00,0.321130
2026-01-08 08:00:00,2026-01-08 08:15:00,0.249990
2026-01-08 07:45:00,2026-01-08 08:00:00,0.225190
2026-01-08 07:30:00,2026-01-08 07:45:00,0.225190
2026-01-08 07:15:00,2026-01-08 07:30:00,0.225200
2026-01-08 07:00:00,2026-01-08 07:15:00,0.236710
2026-01-08 06:45:00,2026-01-08 07:00:00,0.250000
2026-01-08 06:30:00,2026-01-08 06:45:00,0.225200
2026-01-08 06:15:00,2026-01-08 06:30:00,0.187500
2026-01-08 06:00:00,2026-01-08 06:15:00,0.159760
2026-01-08 05:45:00,2026-01-08 06:00:00,0.093240
2026-01-08 05:30:00,2026-01-08 05:45:00,0.107290
2026-01-08 05:15:00,2026-01-08 05:30:00,0.120190
2026-01-08 05:00:00,2026-01-08 05:15:00,0.121050
2026-01-08 04:45:00,2026-01-08 05:00:00,0.107300
2026-01-08 04:30:00,2026-01-08 04:45:00,0.107300
2026-01-08 04:15:00,2026-01-08 04:30:00,0.107300
2026-01-08 04:00:00,2026-01-08 04:15:00,0.082640
2026-01-08 03:45:00,2026-01-08 04:00:00,0.099910
2026-01-08 03:30:00,2026-01-08 03:45:00,0.083590
2026-01-08 03:15:00,2026-01-08 03:30:00,0.084940
2026-01-08 03:00:00,2026-01-08 03:15:00,0.084700
2026-01-08 02:45:00,2026-01-08 03:00:00,0.082350
2026-01-08 02:30:00,2026-01-08 02:45:00,0.086180
2026-01-08 02:15:00,2026-01-08 02:30:00,0.092120
2026-01-08 02:00:00,2026-01-08 02:15:00,0.093640
2026-01-08 01:45:00,2026-01-08 02:00:00,0.080800
